"utterances","intent","answers"
"[""How does Life Insurance work?"",""Working of life insurance"",""working procedure of life insurance""]","Working of life insurance","[{""id"":""1"",""answer"":""<p>Life Insurance products provide guaranteed money i.e. sum assured in case the Life Insured passes away during the term of the policy or becomes disabled on account of an accident. It provides a Sum Assured (or the amount guaranteed to be paid in the event of a loss) by way of a benefit</p>"",""options"":[],""label"":""How does Life Insurance work?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/fdf5b071-a0e9-4e5f-9e7f-0a2218987eb9_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-does-Life-Insurance-work-mobile.m4v""}]"
"[""What happens when you purchase Life Insurance?"", ""What after life insurance?"", ""What happens after i take life insurance?""]","What after life insurance?","[{""id"":""1"",""answer"":""<p>On acceptance of risk by the Life Insurance company, you are covered with a guaranteed Sum Assured and other benefits which is paid either at death or at maturity of the policy depending on the plan type, provided the premiums are regularly paid.</p>"",""options"":[],""label"":""What happens when you purchase Life Insurance?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/0517c4d2-4976-40e5-8b9e-76b8365646cc_en.mp3"",""video"":true,""video_m"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/What-happens-when-you-purchase-Life-Insurance-mobile.m4v""}]"
"[""Who is most likely to buy a Life Insurance plan"",""who can buy a life insurance plan most likely"",""Who is more likely to buy life insurance""]","Buy a life insurance plan","[{""id"":""1"",""answer"":""<p>Everyone who has a family to support and is an income earner needs Life Insurance.</p>"",""options"":[],""label"":""Who is most likely to buy a Life Insurance plan?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/83274657-8980-4a0e-95ed-1294a868c770_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Who-is-most-likely-to-buy-a-Life-Insurance-plan-mobile.m4v""}]"
"["" about yourself"",""describe about yourself"",""introduce yourself"",""who are you""]","Tell me about yourself","[{""id"":""1"",""answer"":""<p>My name is GINA</p>"",""options"":[],""label"":""Can you please tell me about yourself?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/d63231c3-f3bd-4083-8a1a-6d494e9ace6e_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/My-name-is-GINA-Desktop.m4v""}]"
"[""Please tell me about your qualification"",""about your qualification tell me"",""for your qualification please tell me about yourself"",""what is your qualification"",""what is ur qualification"",""who are you""]","About qualification","[{""id"":""1"",""answer"":""<p>I am your Life Insurance expert!</p>"",""options"":[],""label"":""Please tell me about your qualification?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/f849bd59-2a75-46c3-ae47-8ed2a71e0886_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Please-tell-me-about-your-qualification-mobile.m4v""}]"
"[""How many total years of experience do you have"",""how many express do you have"",""what is your experience""]","Total years of experience","[{""id"":""1"",""answer"":""<p>I have enough experience to answer any queries regarding Life Insurance.</p>"",""options"":[],""label"":""How many total years of experience do you have?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/42b6fc67-c45c-4452-a441-ce0252854b6a_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-many-total-years-of-experience-do-you-have-mobile.m4v""}]"
"["" location"",""Where are you belong"",""where are you from"",""where is my location"",""can you tell me about your location""]","Your location","[{""id"":""1"",""answer"":""<p>I am based out of Gurgaon.</p>"",""options"":[],""label"":""What is your location?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/8d3c63df-69c6-4a68-bf06-0c4f9ec25b06_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-your-location-mobile.m4v""}]"
"[""What is your contact number"",""Mobile Number"",""Mobile No"",""to take Appointment "",""Contact No"",""Contact Number"",""Emergency Number"",""Helpline Number"",""tell me about your contact number""]","Contact number","[{""id"":""1"",""answer"":""<p>I am accessible here on your device and you can ask your questions here.</p>"",""options"":[],""label"":""What is your contact number?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/2ebddd95-2afb-47c8-92e3-d4a165dd030d_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-your-contact-number-mobile.m4v""}]"
"[""define policy term"",""what is policy term"",""what is pt"",""tell me about pt"",""what is the meaning of policy term"",""define pity"",""define pt""]","Policy Term","[{""id"":""1"",""answer"":""<p>Policy term refers to the period (term) for which the insurance policy remains active.</p>"",""options"":[],""label"":""What is Policy Term (PT)?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/c2214641-aabc-484c-9ff4-bac316acdd3d_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-Policy-Term-mobile.m4v""}]"
"["" what is premium payment term "", ""define premium payment term"", ""what is ppt"",""meaning of ppt"", about ppt"",""ppt""]","PPT","[{""id"":""1"",""answer"":""<p>Premium Payment Term is the total number of years for which the policyholder would pay the premium for the policy purchased.</p>"",""options"":[],""label"":""What is Premium Payment Term (PPT)?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/86c21f23-b46d-4cf7-a5d5-78c33b64f40b_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-Premium-Payment-Term-mobile.m4v""}]"
"[""what are different types of life insurance plans"", ""different categories of  life insurance plans""]","Types of Life Insurance Plans","[{""id"":""1"",""answer"":""<p>The various types of insurance plans are - Term insurance, ULIP (Market/unit Linked Insurance Plans), Child Plans, Endowment plans and Retirement plans.</p>"",""options"":[],""label"":""What are the types of Life Insurance plans?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/8bdcfd05-fa24-418a-92df-1e0ac997b2f8_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-are-the-types-of-Life-Insurance-plans-mobile.m4v""}]"
"[""what is term plan"", ""define term plan"",""about term plan"",""meaning of term plan"",""tell me about turn insurance"",""tell me about term insurance"",""tell me about tern insurance""]","Term Plan","[{""id"":""1"",""answer"":""<p>Term insurance is a pure life insurance product, which provides financial protection to the policyholder. In case of death of the insured during the policy period, the beneficiary receives a death benefit as defined under the chosen term insurance plan.</p>"",""options"":[],""label"":""What is a Term Plan?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/941a34f4-f92b-4bf9-815a-1e46392e4c13_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-a-Term-Plan-mobile.m4v""}]"
"[""what are participating plans"",""what are participating policies"", ""define participating policies"", ""define participating plans"", ""define par plans"",""about participating plans"",""meaning of participating policies"",""what is power policies?"" ,""what is power plants?"" , ""what is pa policy?"", ""what is a pr policy ?"" ,""what is pr plan?"", ""what is pr policy?"",""par plans""]","PAR Palns","[{""id"":""1"",""answer"":""<p>A participating plan is a Life Insurance contract that pays dividends/bonus to the policyholder.</p>"",""options"":[],""label"":""What are participating (PAR) plans / policies?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/d6f25ae1-c666-4aa1-a44b-f22602cd981b_en.mp3"",""video"":true,""video_m"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/What-are-participating-plans-policies-mobile.m4v""}]"
"[""define non- participating plans/policies"", ""what are non-participating plans/policies"",""meaning of non-participating plans/policies"",""about non-participating plans/policies"",""what is non par plans""]","Non-Participating Plans/Policies","[{""id"":""1"",""answer"":""<p>A non-participating Life Insurance plan provides guaranteed returns and where the policyholder does not receive any bonuses or add-ons in the form of the time-to-time dividends declared by the insurer.</p>"",""options"":[],""label"":""What are non-participating (non-PAR) plans / policies?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/600b07e9-6671-4dac-997b-c02c43b170fc_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-are-non-participating-plans-policies-mobile.m4v""}]"
"[""what is unit linked plan"", ""define unit linked plan"", ""about unit linked plan"",""meaning of unit linked plan""]","Unit Linked Plans","[{""id"":""1"",""answer"":""<p>ULIPs or Unit Linked Insurance Plans are life insurance cum investment options, which provide you with an opportunity to invest in different funds with a opportunity of multiplied growth while providing you with a protection cover.</p>"",""options"":[],""label"":""What is a Unit Linked Plan?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/e5d14d12-c772-458a-aa80-cb60f048bf61_en.mp3"",""video"":true,""video_m"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/What-is-a-Unilt-Linked-Plan-mobile.m4v""}]"
"[""what is pension plan"",""define pension plan"",""about pension plan"",""meaning of pension plan""]","Pension Plan","[{""id"":""1"",""answer"":""<p>A pension plan is a retirement fund that you build throughout your life to ensure an income source. It is an investment that grows through regular contributions. So, when you plan for your retirement at an early stage in life by purchasing the best pension plan in India, it helps secure a sizeable fund.</p>"",""options"":[],""label"":""What is a Pension Plan?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/7683da34-152c-4a95-8257-8f2f9e4d5fb1_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-a-Pension-Plan-mobile.m4v""}]"
"[""what is rider"", ""define rider"",""meaning of a rider"",""about a rider""]","Rider","[{""id"":""1"",""answer"":""<p>A rider is an amendment or attachment with a life insurance plan that adds additional coverage above its basic insurance benefits. In other words, it aims to strengthen a life insurance with multiple benefits, apart from its base offering.</p>"",""options"":[],""label"":""What is a Rider?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/31b77f33-3542-41fe-a680-3e315cc68d91_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-a-Rider-mobile.m4v""}]"
"[""Which Riders are offered by Max Life?"", ""what are the rider options with a life insurance plan"",""which riders are provide by max life""]","Max Life Rider","[{""id"":""1"",""answer"":""<p>Max Life offers - Comprehensive Accident Benefit Rider, Waiver of Premium Plus Rider &amp; Critical Illness Benefit Rider. Not all riders are applicable to all products.</p>"",""options"":[],""label"":""Which Riders are offered by Max Life?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/12d7fdd8-a27c-41f5-86e7-2a1d38342ab0_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Which-Riders-are-offered-by-Max-Life-mobile.m4v""}]"
"[""How many riders do we have for critical illness"",""for critical illness how many riders do we have"",""Rider Illness""]","Rider Illness","[{""id"":""1"",""answer"":""<p>We have only one rider Critical Illness and Disability Rider. The variant available for ULIPS is called Critical Illness and Disability Secure Rider</p>"",""options"":[],""label"":""How many Riders do we have for Critical Illness"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/19d9e295-5c60-41f1-b61a-668b5adfa24b_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-many-Riders-do-we-have-for-Critical-Illness-mobile.m4v""}]"
"[""What is the minimum and maximum entry age for CIDR?"", ""mention the minimum and maximum entry age of CIDR"",""maximum and minimum entry age of cidr""]","Min and Max entry age of CIDR","[{""id"":""1"",""answer"":""<p>Minimum entry age is 18 years (last birth day) and maximum entry age is 65 years (last birthday)</p>"",""options"":[],""label"":""What is the minimum and maximum entry age for CIDR?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/285bfa58-16cd-48c6-84fc-ac7bcd2e0fc9_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-the-minimum-and-maximum-entry-age-for-CIDR-mobile.m4v""}]"
"[""What is the minimun and maximum Sum Assured"" ,""mention maximum and minimum sum assured"",""maximum and minimum sum assured""]","Sum Assured","[{""id"":""1"",""answer"":""<p>Minimum Sum Assured is Rs. 1 lakhs and maximum Sum Assured is Rs.1 Crore however the rider Sum Assured cannot exceed the base policy Sum Assured</p>"",""options"":[],""label"":""What is the minimun and maximum Sum Assured?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/02a04a27-55e6-44b9-bcf7-d24161a9a846_en.mp3"",""video"":true,""video_m"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/What-is-the-minimun-and-maximum-Sum-Assured-mobile.m4v""}]"
"[""is the premium rate guaranteed"", ""premium rate is guarantee"",""how premium rate is guaranteed"",""is the premium rate guarantee?""]","Premium Rate Guaranteed","[{""id"":""1"",""answer"":""<p>The premium rates and level of Rider Sum Assured (as opted at rider inception) under this rider shall be guaranteed for a period of 10 years from the date of risk commencement of the rider and may be revised after ten years with prior approval from IRDAI.</p>"",""options"":[],""label"":""Is the premium rate guaranteed?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/f741f2aa-6a80-4c53-82c1-ee7112e769fa_en.mp3"",""video"":true,""video_m"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/Is-the-premium-rate-guaranteed-mobile.m4v""}]"
"[""how many variants are there in CIDR?CIDSR"", ""how many diffirent types of CIDR?CIDSR "",""different types of cidr/cidsr variants"",""how many different types of cid cid sar"",""different types of cidr"",""different types of cidsr"",""different variants of cidsr"",""different variants of cidr"",""different types of cidr variants""]","Variants of CIDR/CIDSR","[{""id"":""1"",""answer"":""<p>There are five variants - Gold, Gold Plus, Platinum, Platinum Plus &amp; Total &amp; Permanent Disability variant</p>"",""options"":[],""label"":""How many variants are there in CIDR / CIDSR?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/fd3405d6-9a71-4026-9d70-0b685dc9d539_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-many-variants-are-there-in-CIDR-CIDSR-mobile.m4v""}]"
"[""How is the Platinum Plus varint better than others"", ""how is the platinum plus is differ from other"",""compare to others platinum plus variants is better""]","Platinum Plus ","[{""id"":""1"",""answer"":""<p>Platinum Plus variant, in addition to a suite of 64 critical illnesses (five minor, 59 major), also covers TPD</p>"",""options"":[],""label"":""How is the Platinum Plus varint better than others?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/34fd7511-0e7a-4462-a908-2d389ac71f4a_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-is-the-Platinum-Plus-varint-better-than-others-mobile.m4v""}]"
"[""What is the difference between health insurance & critical illness rider"", ""Diffirentiate the health insurance and critical illness rider"",""compare between health insurance and critical illness rider"",""Health Insurance and Critical Illness"",""What is the differene between Health Inssurance & Critical Illness Rider?""]","Health Insurance and Critical Illness","[{""id"":""1"",""answer"":""<p>The payouts in case of Critical Illness Rider are done basis the diagnosis of the disease whereas in health insurance the payouts are done only on hospitalization</p>"",""options"":[],""label"":""What is the differene between Health Inssurance & Critical Illness Rider?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/1f4a2b68-d354-437e-b402-fd0c1913d3df_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-the-differene-between-Health-Inssurance-Critical-Illness-Rider-mobile.m4v""}]"
"[""health insurance and critical illness rider payouts"","" customer claim both Health Insurance and Critical Illness Rider payouts"",""for health insurance and critical illness rider payouts can customer claim for both""]","health insurance and critical illness rider payouts","[{""id"":""1"",""answer"":""<p>Yes, subject to eligibility as per plan</p>"",""options"":[],""label"":""Can a customer claim both Health Insurance and Critical Illness Rider payouts?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/a43ae88f-3553-443e-bc38-c11488c401a7_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Can-a-customer-claim-both-Health-Insurance-and-Critical-Illness-Rider-payouts-mobile.m4v""}]"
"[""Will the Critical Illness and Disability Rider call for additional underwriting or medicals"",""is there any underwriting or medical for critical illness and disability rider call"" ]","Critical Illness","[{""id"":""1"",""answer"":""<p>No. The Critical Illness Rider does not lead to additional underwriting or medicals.</p>"",""options"":[],""label"":""Will the Critical Illness and Disability Rider call for additional underwriting or medicals?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/8b89ee5c-db6a-406e-a88c-6bafc8b4d200_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Will-the-Critical-Illness-and-Disability-Rider-call-for-additional-underwriting-or-medicals-mobile.m4v""}]"
"[""The customer has a health plan and is not ready for CIDR or CIDSR"",""health plan for customer is not ready for cidr or cidsr"",""The customer has a health plan and is not ready for CIDR?"" , ""The customer has a health plan and is not ready for CID sar?""]","Customer Health Plan for CIDR","[{""id"":""1"",""answer"":""<p>The Critical Illness and Disability Rider compliments the health plans. The CIDR payout will be done basis the diagnosis of the critical illness whereas in health plan the payouts will be done basis hospitalization.</p>"",""options"":[],""label"":""The customer has a health plan and is not ready for CIDR or CIDSR?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/da315ea2-a636-4937-947f-c863f2f32a53_en.mp3"",""video"":true,""video_m"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/The-customer-has-a-health-plan-and-is-not-ready-for-CIDR-CIDSR-mobile.m4v""}]"
"[""What is MY Connect"", ""define my connect"",""about connect"",""my connect meaning"",""myconnect meaning""]","My Connect","[{""id"":""1"",""answer"":""<p>My Connect is the integration between YES Genie and Max Life CRM Next. This integration allows the leads to be transferred from YBL to Max Life in real time.</p>"",""options"":[],""label"":""What is MY Connect?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/2d8171f5-90df-4738-b5be-ca923c066b37_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/What-is-MY-Connect-mobile.m4v""}]"
"[""Why should I use MY CONNECT"", ""what is the use of My Connect"",""can i use mu connect""]","Uses of My Connect","[{""id"":""1"",""answer"":""<p>The leads are getated at YBL in their CRM called YES GENIE. These leads are transferred in realtime to the Max Life CRM. Since the lead governance becomes easy managing the funnel becomes efficient. And efficient lead management helps increase conversions. The process also allows managing the customer database effectively.</p>"",""options"":[],""label"":""Why should I use MY CONNECT?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/0bf71aae-1fd5-47dc-9034-f9d862f5fdb0_en.mp3"",""video"":true,""video_m"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/Why-should-I-use-MY-CONNECT-mobile.m4v""}]"
"[""What are the benefits of My Connect"", ""mention the benifits of My connect"",""my connect benefits""]","Benifits of My Connect","[{""id"":""1"",""answer"":""<p>The leads are getated at YBL in their CRM called YES GENIE. These leads are transferred in realtime to the Max Life CRM. Since the lead governance becomes easy managing the funnel becomes efficient. And efficient lead management helps increase conversions. The process also allows managing the customer database effectively.</p>"",""options"":[],""label"":""What are the benefits of My Connect?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/b4f0ef18-6727-4db3-8b19-ac8b813727a4_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Why-should-I-use-MY-CONNECT-mobile.m4v""}]"
"[""Where do I check leads that come from YBL"",""ybl leads"",how to see ylb leads"",""check YLB leads"",""viber leads"",""why beard leads"",""why wear leads"",""how to see ylb leads"",""how to see vi lv leads"",""check y lv leads""] ","YBL","[{""id"":""1"",""answer"":""<p>The CRM Next has a dropdown in the Leads section, look for 'Received from YBL'. Select this option and you will see all leads that have been transferred from YBL to you.</p>"",""options"":[],""label"":""Where do I check leads that come from YBL?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/2d128185-4a4d-4a41-a9c1-cc1255b84b0c_en.mp3"",""file"":{""source"":""https://coroverbackendstorage.blob.core.windows.net/maxlife-video-bucket/MyConnect_Screenshot.jpg"",""source-type"":""jpg""},""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/Where-do-I-check-leads-that-come-from-YBL-mobile.m4v""}]"
"[""How will I get to know if there is a new lead for me"",""how will i know when a new leads come to me"",""new lead check"",""checking leads"",""latest lead checking""]","New Lead","[{""id"":""1"",""answer"":""<p>As soon as the SP will create a lead in YES Genie, you will receive and an SMS informing you about the new lead.</p>"",""options"":[],""label"":""How will I get to know if there is a new lead for me?"",""audio"":""https://coroverbackendstorage.blob.core.windows.net/chatbot-audio-bucket/a2c69d8d-f253-41b4-b96b-c774a4f8d8db_en.mp3"",""video"":true,""video_m"":""https://storage.googleapis.com/public-bucket-corover-001/maxlife-video-bucket/How-will-I-get-to-know-if-there-is-a-new-lead-for-me-mobile.m4v""}]"
